No,serialID,speaker,dialogue
1,YKNNX16969B,context,"햇살 좋은 뜰의 한복판, 작업대에서 대패로 나무를 손질하고 있는 윤교수의 뒷모습, 살짝 땀이 밴 작업복의 팔을 걷어부치고 대패질에 열중인 윤교수의 모습은 어딘가 적적하다."
2,YKNNX16969B,CG,<move/> 찾고 싶은 사람을 만나면 사람들이 행복해 하던가?
3,YKNNX16969B,VL,<move/> 그럼요~!
4,YKNNX16969B,context,혹시나 해서 윤교수를 바라보는 수진. 그러나 묵묵히 대패질에 열중인 윤교수. 실망한 표정의 수진. 다시 윤교수의 낮은 목소리.
5,YKNNX16969B,CG,어쩌면.. 만나지 않는게 더 나을 수도 있지 않을까?
6,YKNNX16969B,VL,<move/> 그거야 <pause/> 그래두 <pause/> 안 만나보고 고민만 하다 후회하는 것 보단 일단 만나보는 게 낫지 않을까요?
7,YKNNX16969B,context,"잠시 멈칫거리는 윤교수의 몸짓을 살피는 수진, 윤교수의 다음 말을 고대하지만 다시 대패질을 시작하는 윤교수. 초긴장 상태의 수진만이 콩닥거리는 심장을 조절하느라 땀이 찬 손을 쥐었다, 풀었다한다. 여전히 묵묵부답인 윤교수의 모습에 절망하는 수진. 에라, 모르겠다는 듯, 다짜고짜 윤교수 앞에 무릎을 꿇고,"
8,YKNNX16969B,VL,"교수님! 저 좀 살려주세요, 예? 교수님두 그런 사람 있으실 꺼 아니에요. 죽기 전에 꼭 한 번은 보고 싶은 사람요. 예?"
9,YKNNX16969B,context,대패질을 멈추고 절박한 얼굴의 수진을 바라보는 윤교수. 대패질 소리가 끝난 뜰은 더욱 고요해지고 윤교수가 입술을 뗀다.
10,YKNNX16969B,CG,찾고 싶은 사람이 하나 있는데 <pause/>
11,LZBFI7088A,context,"혜미, 레이 앉아있는."
12,LZBFI7088A,IU,나 혼자 빠져나왔어요. 살려달라고.....간절하게 내 손을 잡았는데.....뿌리쳤어요.
13,LZBFI7088A,ST,<move/> 그런 말은.....재판정에서 해요.
14,LZBFI7088A,IU,미안하다고 안할게요.
15,LZBFI7088A,ST,<mute/>
16,LZBFI7088A,IU,그런 말로.....안된다는 거 알아요.
17,LZBFI7088A,ST,사....랑....했어요? 우리 <pause/> 오빠?
18,LZBFI7088A,IU,<mute/>
19,LZBFI7088A,ST,<mute/>
20,LZBFI7088A,IU,망설였어요. 그냥.....이대로 살면 어떨까. 그 사람하고.....하지만 안됐어요. 그러기엔.....허망한 욕심이 너무 커서.....그때....허망하다는 거 알았으면.....달라질 수도 있었을텐데....그땐 몰랐어요. 그게 얼마나 허망한 건지 <pause/>
21,LZBFI7088A,ST,재판 어떻게 될지 모르지만.....살인이라고 까진.....할 수 없을지도 몰라요.
