No,serialID,speaker,dialogue,
1,NGOQJ67493N,context,"세훈, 무섭게 팔 끌고 오면",
2,NGOQJ67493N,SJ,아! 아파요! 아프단 말이예요..,
3,NGOQJ67493N,EK,<move/> ..너 대체 무슨 작정으로 여기까지 온 거야!,
4,NGOQJ67493N,SJ,뭐 작정한 거 없는데.. 우연히 케잌주문을 받았는데 상무님 집이길래.. 그냥 상무님 집이 어떤가 너무 궁금하구 그래서..,
5,NGOQJ67493N,EK,뭐?! 지금 그걸 말이라고 하는 거야?!!,
6,NGOQJ67493N,SJ,정말이예요.. 왜 그렇게 화내요 무섭게..,
7,NGOQJ67493N,EK,너 정말 대책 없는 애구나.. 지금 장난해?!!,
8,NGOQJ67493N,SJ,왜 자꾸 그런 식으로 얘기해요.. 난 단지.. 상무님이 어떤 집에서 어떻게 사시는지.. 어떤 사람들하고 가족인지.. 궁금했다구요.. 그리구 아무도 몰라봤잖아요..,
9,NGOQJ67493N,EK,니가 대책 없는 애인 줄은 알았지만 정말 이 정도인지는 몰랐어!,
10,NGOQJ67493N,SJ,뭐 그런 말까지 하세요..,
11,NGOQJ67493N,EK,당장 사라져! 다시는 너 꼴도 보기 싫으니까?!! <move/>,
12,NGOQJ67493N,SJ,정말 너무 궁금해서 한번 와본건데.. 내가 너무 심했나.. 어뜩해.. 정말 화났나봐.. <move/>,
13,KLYGS54013S,ZI,어쩌려구 여기까지 마중나와? 누구 눈에 띄기라도 하면 <pause/>,
14,KLYGS54013S,CK,<move/> 식사는요?,
15,KLYGS54013S,ZI,기내에서 해결했어.,
16,KLYGS54013S,CK,보고 싶지 않았어요 나? 전화도 없고 걸어도 받지도 않고.,
17,KLYGS54013S,ZI,바빴어.,
18,KLYGS54013S,context,밤거리 속으로 멀어져가는 유란의 차 도심으로 접어들면서,
19,SJZAX59329T,context,"준혁, 소파에 누워 있고 <pause/> 테이블 위에 송도 건 파일이 놓여 있는데 <pause/>",
20,SJZAX59329T,context,"희재, 신경도 안 쓰고 잔에 얼음만 톡톡 담고 있다 <pause/>",
21,SJZAX59329T,context,"준혁, 쓱 눈치를 보고 <pause/> 일어나 앉으며 <pause/>",
22,SJZAX59329T,GJ,어떻게 생각해? <move/> 이 병원 건 말야 <pause/>,
23,SJZAX59329T,GJ,어떻게 생각해? <move/> 이 병원 건 말야 <pause/>,
24,SJZAX59329T,JU,쉴 틈 없이 사는 사람이구나 <pause/> 생각해 <pause/>,
25,SJZAX59329T,GJ,건성 들린다...?,
26,SJZAX59329T,GJ,건성 들린다...?,
27,SJZAX59329T,JU,<move/> 자기 누가 조언하는 거 딱 질색하는 사람이잖아.괜히 했다가 이번엔 유리잔 던지면 어떡해 <pause/> 치우기도 힘든데 <pause/>,
28,SJZAX59329T,GJ,<move/> 그땐 예민했어. <move/> 근데 그건 <pause/> <move/>,
29,SJZAX59329T,GJ,<move/> 그땐 예민했어. <move/> 근데 그건 <pause/> <move/>,
30,SJZAX59329T,JU,"<move/> 내일, 결정 나는 날인데 <pause/> 그럼 그 문제에서 완전히 벗어 나게 되는 거야?",
31,SJZAX59329T,GJ,<move/> 어 <pause/> <move/>,
32,SJZAX59329T,GJ,<move/> 어 <pause/> <move/>,
33,SJZAX59329T,JU,<move/> 그럼 다행이구 <pause/> <move/>,
34,SJZAX59329T,context,"준혁, 각오 다지듯 얼음을 탁탁 깨뜨리며 씹고 <pause/> 희재, 가다 쓱 돌아보는데 <pause/>",
35,AQNMC52901X8,context,"창후, 벤치에 앉아 불이 꺼져 있는 자신의 옥탑방을 올려다 보고 있다.그 옆 벤치에서 토하고 있는 소영. 신발 다 벗겨지고, 얼굴은 눈물 범벅이다. 흐느적거리는 소영, 졸음을 이기지 못하고 옆으로 푹 쓰러진다.",
36,AQNMC52901X8,KL,너 자꾸 울래? 바보같이!,
37,AQNMC52901X8,IC,"사는 건 우는 시간, 눈물 닦는 시간, 울지 않는 시간, 울었다고 야단맞는 시간으로 이루어진 게 아닐까?",
38,AQNMC52901X8,KL,너 참 발 못 생겼다. 다들 도망가게 생겼어. 니 발 이뻐하는 사람은 나 밖에 없을 거야. 일루와 발톱 깎아줄게.,
39,AQNMC52901X8,context,발가락에 뽀뽀하는 상태.,
40,AQNMC52901X8,IC,불쌍한 우리 엄마.,
41,AQNMC52901X8,KL,뭐가?,
42,AQNMC52901X8,IC,"엄마 나이가 돼도 꿈을 쫓는 거, 이상하지 않어? 엄마도 아직도 연애하고 싶고 그럴까?",
43,AQNMC52901X8,KL,"당연하지. 니네 엄마가 어떻게 맨날 그냥 소영엄마냐? 여자고 사람이고, 동물이고 그렇지.",
44,AQNMC52901X8,IC,"나 진짜 나쁜 딸이야, 그치?",
45,AQNMC52901X8,context,"상태, 쌕쌕거리며 잠든 소영에게 혼자서 중얼대다가 자연스럽게 소영 입술에 뽀뽀한다.",
46,AQNMC52901X8,IC,<move/> 너 교생한테 맞은 거니?,
47,AQNMC52901X8,KL,아니. <move/> 진짜 아냐.,
48,AQNMC52901X8,IC,<move/> 아팠어?,
49,AQNMC52901X8,KL,나도 많이 때렸어.,
50,WHQTR75663F,context,"수찬, 옷 갈아입고 있으면. 덕길 문 빼꼼히 열고.",
51,WHQTR75663F,XZ,이런 상황에서 좀 뭣하지만 할 말은 해야겄다.,
52,WHQTR75663F,KW,또 뭐?,
53,WHQTR75663F,XZ,쌀이 떨어져 가는디? 내일이나 먹을라나.,
54,WHQTR75663F,KW,살림을 어떻게 하는 거야?,
55,WHQTR75663F,XZ,"그랴, 나가 다 처먹었다, 나가 한 끼에 열 그릇씩 먹어치웠다.",
56,LNPHL32204W,context,"지여사, 알 수 없는 어떤 길을 걸어가는데",
57,LNPHL32204W,context,"어떤 여자, 길가에 바구니를 놓고 앉아있다..",
58,LNPHL32204W,context,"지여사 보면, 빨간색 탐스러운 고추가 바구니에 가득하다..",
59,LNPHL32204W,VM,아유 탐스럽고 이쁘기도 해라.. 어쩜 세상에..이렇게 잘생긴 고추가 있나..,
60,LNPHL32204W,LV,<move/> .. 이거 할머니꺼예요..,
61,LNPHL32204W,VM,내 꺼라구.. 이게 다?,
62,LNPHL32204W,LV,예.. 치마 펼쳐보세요..,
63,LNPHL32204W,VM,<move/>,
64,LNPHL32204W,LV,<move/>,
65,LNPHL32204W,VM,<move/>,
66,LNPHL32204W,context,"지여사, 꿈결에 좋아서 이불을 치마처럼 부여잡다 문득 눈을 뜨는데..",
67,LNPHL32204W,VM,<move/> .. 꿈이네.. 근데 무슨 꿈이 그렇게 생생한게.. 가만있어보자.. 이거 태몽 아니야?.. <move/> ..아닌가.. <move/> 아이구 신령님 조상님 부처님 우리 세훈이 애기 하나만 점지해 주세요..,
68,VRXKM98852M,ZY,"뭐가 됐든 상관없어요,김사부를 한방에 훅! 보낼수 있는거라면 뭐가 됐든 공유하도록 합시다.",
69,VRXKM98852M,YN,한방에 훅..! 이라구요? <move/>,
70,VRXKM98852M,ZY,"이번 일만 잘 해주면 장실장, 내가 서울 본원으로 천거해드릴까 하는데.",
71,VRXKM98852M,YN,<move/> 거대병원으로요...?,
72,VRXKM98852M,ZY,"잘 생각해보세요, 시간은 충분하니까.",
73,VRXKM98852M,YN,<move/>,
74,DJFFG4644Q,context,노박사 방을 나오는 수지. 연구원들과 눈이 마주치자 수지가 먼저 인사를 한다. 연구원들도 얼결에 인사를 하고는 ‘누구지?’ 하는 표정으로 서로를 바라본다. 수지는 여전히 홍팀장과 전화를 하는 중이다.,
75,DJFFG4644Q,ZU,국정원에서 국가 전산망 모의 해킹했더니 86%가 다 뚫렸데. 정말 보안의식들 없어서 큰일이야. <move/> 여긴 별 일 없죠?,
76,DJFFG4644Q,JG,"예? <pause/> 아, 예.",
77,DJFFG4644Q,ZU,"지금 지사 연구소 들렸다가 나가는 길이야. 회장님이 둘러보고 오라고 하셔서 <pause/> 다들 열심히 하네 <pause/> 응, 인상들 좋아.",
78,DJFFG4644Q,context,수지가 아무렇지도 않게 통화를 하며 연구실을 벗어난다.,
79,ACAIE59121H8,context,흑사파2가 문을 열고 들어온다. 카운터에 있는 노래방 사장에게 다가가서,
80,ACAIE59121H8,YP,연락하지 말라는데 왜 불렀소?,
81,ACAIE59121H8,VX,<move/> 아니 입금 하려는데 계좌 번호가 아니라네.,
82,ACAIE59121H8,YP,<move/> 여 2가 아니고 9네.,
83,ACAIE59121H8,VX,아 <pause/>,
84,ACAIE59121H8,YP,하이 씨 <pause/> 전화로 하지 <pause/>,
85,ACAIE59121H8,context,흑사파2가 밖으로 나가면 사장이 카운터 뒤에 몰래 숨겨둔 캠코더를 꺼낸다.,
86,BGJYT64360R,context,"동주, 많이 취한, 혼자서 술을 마시고 있는데, 핸드폰 울리면, 멈칫,",
87,BGJYT64360R,context,"동주모인, 가만히 보다가 받는,",
88,BGJYT64360R,context,"동주모, 소파에 앉아 통화를 하는,",
89,BGJYT64360R,BP,"<move/> 어이, 이여사. 오랜만이야.",
90,BGJYT64360R,BP모,! <move/> <pause/> 술 마시니?,
91,BGJYT64360R,BP,<move/> <pause/> 응....좀..마셨지. <move/> 나 보고 싶어서 전화했구나?,
92,BGJYT64360R,BP모,<move/> <pause/> 엄마야 아들 항상 보고 싶지.,
93,BGJYT64360R,BP,거참..나한테 너무 빠져 살지 말라니까.,
94,BGJYT64360R,BP모,<move/> <pause/> 힘드니?,
95,BGJYT64360R,BP,! <move/> <pause/> 울 엄마 돗자리 깔아야 겠네. <move/> ..응...쫌 힘드네. <move/> <pause/> 맨 놀기만 하던 놈이 이일 저일 하려니까..이거 저거 챙기려니까...뭘 해야는지..뭔 하지 말아야는지..도통 모르겠어서 <pause/> 그래서 힘들어.,
96,BGJYT64360R,BP모,<mute/>,
97,BGJYT64360R,BP,여기까지만...딱 선이 그어지면 좋겠는데...그게 안 돼서...자꾸 선을 넘어가고 <pause/> <move/> <pause/>,
98,BGJYT64360R,BP모,<move/> <pause/>,
99,BGJYT64360R,BP,<move/> <pause/> 왜 그렇게 바보 같이 당하고만 사는지 화가 나 엄마....힘들어하는데..내가 뭘 어떻게 해야는 건지..모르겠어. 하나도 모르겠어.,
100,BGJYT64360R,BP모,<move/> <pause/>,
101,XYPTH12801X,context,"뒷좌석에 앉은 세경, 짜증나는, 스스로가 맘에 안 들어 견딜 수 없는",
102,XYPTH12801X,context,"운전하던 주진, 백미러로 슬쩍 세경을 살피고는",
103,XYPTH12801X,FR,요즘 너무 예민하신 것 같아요. 소송 껀만 해도 직접 신경 쓰실 일은 아니잖아요.,
104,XYPTH12801X,OX,"<move/> 그래, 알아 <pause/> 윤섭 씨한테 내야 될 화를 <pause/> 그 여자한테 내고 있는 건지도 모르지 <pause/>",
105,SXGYR93063J,JR,<move/> 못 간다구요? 왜요?,
106,SXGYR93063J,VU,"자네 대신 이도욱 선생을 보내기로 했어. 병원장님 결정이야. 김유순 환자 사건으로, 자네한테 뭔가 문제가 있다고 생각하신 것 같애.",
107,SXGYR93063J,JR,<move/> <pause/> 말도 안 돼 <pause/>,
108,YXNHI77347G,context,애자와 자는 혜리.,
109,YXNHI77347G,DU,너무 너무 좋다. 남편하고 자는 거 보다 더 좋다.,
110,YXNHI77347G,BB,엄마하고 자는 게 얼마만이야?,
111,YXNHI77347G,DU,"니가 이렇게 엄마, 나랑 같이 자 그러니까 꼭 결혼해서 나갔다가 친정온 딸 같애.",
112,YXNHI77347G,BB,결혼해도 여기서 살라고 넓게 지은 거라며.,
113,YXNHI77347G,DU,"그게 그때 꿈이지, <move/> 어머머머 꿈은 아니네? <move/> 서군하고결혼하면 들어와 살아도 되잖아?",
114,YXNHI77347G,BB,<move/> 서변?,
115,YXNHI77347G,DU,응? 그치? 그치? 아버지 미국에 있다며.,
116,YXNHI77347G,BB,엄마 그게 <pause/>,
117,YXNHI77347G,DU,<move/> 니들 결혼하면 시아버지 귀국하신대?,
118,YXNHI77347G,BB,<move/> 그게 아니라 <pause/>,
119,YXNHI77347G,DU,그럼?,
120,YXNHI77347G,BB,엄마 나 <pause/> <move/> 서변 진짜 좋아하나봐 <pause/>,
121,YXNHI77347G,DU,<move/> 좋아하는 거 아니었어?,
122,YXNHI77347G,BB,<move/> 좋아했는데 이렇게 좋아하는 건지 몰랐어. 좋아해도 좋아하는 줄몰랐는데 <pause/> <move/>,
123,YXNHI77347G,DU,혜리야?,
124,YXNHI77347G,BB,<move/> 엄마 <pause/>,
125,YXNHI77347G,DU,<move/> 왜 그래? 싸웠어? 서군이 속 썩였어?,
126,YXNHI77347G,BB,<move/> 보고 싶어 <pause/>,
127,YXNHI77347G,context,[시간경과],
128,YXNHI77347G,context,어두운 방. 애자는 자고 있고 <pause/> 옷장에서 4회의 인우 옷 <move/> 꺼내드는 혜리. <move/>,
129,FTQNF82216Y,context,철진과 오선생이 차 안에 심상치 않게 앉아 있다.,
130,FTQNF82216Y,VG,제가 왜 이래야 되는지 제가 알 필요는 없습니까?,
131,FTQNF82216Y,OK,당이 시킨 일이니까.,
132,FTQNF82216Y,VG,<move/>,
133,MEWCV84716G3,context,"가방 옆에 내려놓고. 개화, 아이 앞에 쪼그리고 앉아서",
134,MEWCV84716G3,OA,"꼬마야, 아줌마가 마지막으로 묻는다. 이번 물으면 열 번째거든? 너 이름이 뭐니?",
135,MEWCV84716G3,IQ,<mute/>,
136,MEWCV84716G3,OA,<move/> 그럼 너 여기 누구네 집이니? 삼촌? 작은아빠?,
137,MEWCV84716G3,IQ,<mute/>,
138,MEWCV84716G3,OA,너 진짜 고집 세다 <pause/>,
