No,serialID,speaker,dialogue
1,TWTXQ81338V,context,마주 앉아있는 혜리와 진검.
2,TWTXQ81338V,QH,"나 마검하고 별로 친하지도 않고, 남 일에 관여하는 것도 별론데 마검상태가 너무 불안해 보여서. <move/> 털어놔 봐."
3,TWTXQ81338V,BG,<move/> 네?
4,TWTXQ81338V,QH,뭘 그렇게 놀라? 죄지은 사람처럼.
5,TWTXQ81338V,BG,<move/>
6,TWTXQ81338V,QH,"말하기 싫음 안 해도 돼. 난 그냥 눈에 띌 정도로 힘들어보여서,그럴 때 모른 척 하는 것도 예의가 아닌 거 같아서 한번 시도 해본거야."
7,TWTXQ81338V,BG,<move/> 선배님 검사 일 하면서요 <pause/> 양심에 걸리는 일은없었어요?
8,TWTXQ81338V,QH,안 어울리게 검사관에 대해서 고민했던 거야?
9,TWTXQ81338V,BG,우리는 실체적 진실을 찾는 사람들이다 <pause/> 그러잖아요?
10,TWTXQ81338V,QH,<move/>
11,TWTXQ81338V,BG,그 진실이 무서운 거면 어떻게 해요? <pause/> 그 진실이 나를 아니면 내 가족을해치는 거면 <pause/> <move/> 검사들은 어떻게 해요?선배님은 어떡하실 거 같아요? 그런 경우 없었어요?
12,TWTXQ81338V,QH,"질문은 거창한데, 답은 참 간단하다."
13,TWTXQ81338V,BG,간단해요?
14,TWTXQ81338V,QH,"정답 없음. 검사들 개인마다 생각, 가치관이 다르니까. 각자 선택."
15,TWTXQ81338V,BG,선배님이라면요?
16,TWTXQ81338V,QH,"나 <pause/> 예를 좀 들어볼래? 구체적으로 누가, 어떤 죄를 어떻게 지었는지."
17,TWTXQ81338V,BG,<move/> 아니 실제 사례는 아니구요 <pause/>
18,TWTXQ81338V,QH,서변호사 때문이지?
19,TWTXQ81338V,BG,<move/> 네?
20,TWTXQ81338V,QH,그 사람한테 무슨 일 있어? 변호하다 문제 생겼대?
21,TWTXQ81338V,BG,아니에요 <pause/>
22,TWTXQ81338V,QH,헤어졌어?
23,TWTXQ81338V,BG,그 사람은 헤어지고 말고 그런 게 아닌 사람이에요.
24,TWTXQ81338V,QH,헤어지고 말고가 아닌? 그게 무슨 말이야?
