No,serialID,speaker,dialogue,
1,SGCQA28163S3,YV,"아니, 얼마나 간다고 그런 걸 붙여요.",
2,SGCQA28163S3,TZ,제가 차를 오래 못 타요. 몸이 예민해서. 잠자리만 바뀌어도 잘 못 자고 <pause/>,
3,SGCQA28163S3,YV,여행사 직원이었다며?,
4,SGCQA28163S3,TZ,여행사 다닌다고 다 여행가나요? 그래도 저 정보 자료 하나는 확실했습니다.,
5,SGCQA28163S3,YV,"항공기 예약, 숙박, 환율 <pause/> 그런 거 말구, <move/> 그 나라의 공기, 거리의 냄새나 사람 사이의 느낌 <pause/> 그런 건 모르잖아요.",
6,SGCQA28163S3,TZ,"또, 또 <pause/> 저 표정 나온다.",
7,SGCQA28163S3,YV,응? <move/>,
8,SGCQA28163S3,TZ,"인도 얘기 할 때, 김종욱 얘기 할 때, 눈 이렇게 가늘어져가지고 <pause/>",
9,SGCQA28163S3,YV,<move/> 워낙 멋진 기억이라 생각만 해도 눈이 부셔서 <pause/>,
10,SGCQA28163S3,TZ,훌륭하시네. 그렇게 좋으면 왜 다시 안 만났대?,
11,SGCQA28163S3,YV,"만나기로 한 날, 오사카에서 한국으로 오는 트랜스퍼 비행기를 놓쳤어요. <move/> 그 날 비가 엄청 왔거든요.",
12,SGCQA28163S3,TZ,<move/> 그 때쯤에 오사카는 그렇게 비 안 오는데 <pause/>,
13,SGCQA28163S3,YV,"또, 또 가보지도 않곤 인터넷만 보고 <pause/>",
14,SGCQA28163S3,TZ,"왜 이래요? 교환 학생으로 살 때, 그 동네 화과자는 내가 다 만들었는데.",
15,SGCQA28163S3,YV,호두과자요?,
16,SGCQA28163S3,TZ,"화,과,자,요!!",
17,SGCQA28163S3,YV,아님 말지 왜 화를 내? 나도 화과자 먹어본 적 있어요. 것도 일본에서.,
18,SGCQA28163S3,TZ,혹시 배고파요? <move/> 잠깐만요- 대신 내가 <pause/>,
19,SGCQA28163S3,TZ,먹을 걸 좀 싸왔는데 <pause/> <move/> 이게 <pause/> <move/> 왜 이렇게 <pause/> <move/>,
20,SGCQA28163S3,YV,"아, 됐어요! <move/> 그냥 앉아요, 배 안 고프니까.",
21,SGCQA28163S3,TZ,잠깐만 있어 봐요 <pause/> 이게 <pause/>,
22,SGCQA28163S3,TZ,"뭐, 해요 <pause/> 좀 도와줘요 <pause/>",
23,SGCQA28163S3,YV,<move/> <pause/>,
24,SGCQA28163S3,TZ,<move/> 지우씨 <pause/> 지우씨 <pause/>,
25,GYCGT42281K,RM,"그보다 먼저 <pause/> 뭐 한가지만 여쭤 볼께요, 어머님은 <pause/> 어머님은 아직도 살아계신가요?",
26,GYCGT42281K,WG,<pause/> 돌아가셨습니다.,
27,GYCGT42281K,RM,<move/> 언제 <pause/> 언제요?,
28,GYCGT42281K,WG,그게 <pause/> 제가 열두 살 되던 해였어요.,
29,HCIIS43895U,QE,이 아줌마가 진짜...!,
30,HCIIS43895U,AI,<move/> 뭐야?,
31,HCIIS43895U,QE,"<move/> 아니야, 아무것도. 스케쥴 없다더니 왜 불러?",
32,HCIIS43895U,AI,맨날 노냐? 내일은 일 해야지. 내일 일본 팬들 팬미팅 행사 있다.,
33,HCIIS43895U,QE,저번처럼 입장료 터무니없이 비싸게 받아서 욕먹지 말고 잘해.,
34,HCIIS43895U,AI,많이 컸다? 나 가르치냐?,
35,HCIIS43895U,QE,그렇단 얘기야.,
36,HCIIS43895U,AI,<move/>,
37,DFEHC99785I,PU,<move/> 선생님.. 충고가 맞는 거 같아요.,
38,DFEHC99785I,PU,뭔가 숨통이 트일만한 작은 재밋거리나 소일거리를 만들라고 하셨잖아요.,
39,DFEHC99785I,RE,예.. 그랬죠.,
40,DFEHC99785I,PU,<move/> 여기 두세요. <move/> 그런 걸 찾았거든요.,
41,DFEHC99785I,RE,그래요?,
42,DFEHC99785I,PU,예.. 요즘 잠도 좀 오고.. 기분도 좀 좋아지는 거 같고 그래요.,
43,DFEHC99785I,RE,"다행이네요. 사모님만 그러신 게 아니라, 이 동네 며느님들이.. 대체로 좀 압박을 느끼실 일들이 많아서요.. 숨통 트일 일을 찾으셨다니, 다행이구요 <pause/> 꾸준히 하시는 게 중요해요.",
44,DFEHC99785I,PU,예. <move/> 당분간은 <pause/> 즐길 수 있을 것 같아요.,
45,EITLM48272G6,OU,"<move/> 컨시어집니다. 더블 체크인이 된 것 같습니다, 손님. 정말 죄송합니다.",
46,EITLM48272G6,CV,<move/> 괜찮아요. 다른 방 가면 되죠 뭐.,
47,EITLM48272G6,OU,<move/> 사과드리는 의미로 룸을 업그레이드해드리도록 하겠습니다.,
48,EITLM48272G6,CV,업그레이드?,
49,JRADF33648K,LY,<move/> 어후..선생님.. 실수신가 봐요.,
50,JRADF33648K,SS,<move/>,
51,JRADF33648K,LY,"한세경이란 여자.. 외모도 그렇고, 스타일도 전혀 그런 쪽 아니던데요. 사람 잘 보시는 분이.. 어쩌시다가..",
52,JRADF33648K,SS,<move/> <pause/>,
53,YBSDN23125P,BZ,<move/> 다음은 전자통신종목인데요. 전반적으로 보합세입니다만 봉원전기는 오후에 유동성위기소식이 알려지면서 급락하고 있습니다.,
54,YBSDN23125P,OO,<move/> 어!!? <move/>,
55,PRGVF12812H,FZ,<move/> 아줌마는 아시죠? <pause/> 아시잖아요.,
56,PRGVF12812H,NH,"그래, 알어 <pause/> 시장 언저리에서 비참한 청춘 시절 같이 보냈으니까 <pause/>",
57,PRGVF12812H,FZ,<move/>,
58,PRGVF12812H,NH,"나는 극장 매표소에서, 그 언니는 밥집에서 일했어 <pause/> 등에 아이 들쳐 업고 <pause/> 지지리도 가난했지.",
59,PRGVF12812H,FZ,잠깐 <pause/> 저 말고 또 애가 있었다구요?,
60,PRGVF12812H,NH,"<move/> 그래, 애 딸린 과부였어 <pause/> 유부남이라는 거 알면서도 살림 차리더라 <pause/> 앞 뒤 가릴만한 처지가 아니었으니까 <pause/> 그래도 너 낳고 몇 년은 행복했겠지 <pause/> 니 아버지.. 암 선고 받고 보름 만에 가더라 <pause/> 장례식에서 보고 다시는 본 적 없어. 몰라.",
