No,serialID,speaker,dialogue,
1,YIHUK64375A,NM,<move/> 우리 이미 끝난 사이잖아. 뭘 용서해줘?,
2,YIHUK64375A,MO,<move/> 넌 내가 진짜 싫어?,
3,YIHUK64375A,NM,<move/> <pause/>,
4,YIHUK64375A,MO,"<move/> 난 니가 나한테 못됐게 해도 이쁘구, 화내고 소리쳐도 귀여워. 난 니가 진짜 좋아. 근데 니가 나 정말로 싫다면, 정말로 싫다면...다신 연락 안 하고, 내가 너 포기한다.",
5,YIHUK64375A,NM,<move/>,
6,YIHUK64375A,MO,<move/> 대답해 봐. 내가 정말 싫어?,
7,YIHUK64375A,NM,"<move/> 어, 싫어.",
8,YIHUK64375A,MO,<move/> 정말 싫어?,
9,YIHUK64375A,NM,그래.,
10,YIHUK64375A,MO,"<move/> 나 지금 맘이 넘 아프지만, 알앗어. <move/> 그동안 고마웠다.. <move/> 잘 지내라. <move/>",
11,YIHUK64375A,NM,<move/>,
12,YIHUK64375A,MO,<move/>,
13,YIHUK64375A,NM,"<move/> 야, 이 나쁜 놈아!",
14,YIHUK64375A,MO,<move/>,
15,YIHUK64375A,NM,<move/> 너 되게 멋있는척 한다. 니가 언제부터 그렇게 쿨했냐? 언제부터 니가 내가 싫다그럼 오케이하고 가고 그랬냐고?! 언제부터!!,
16,YIHUK64375A,MO,아니.. 나는 니가 너무 싫다니깐....그럼 내가 어떻게 해야 해 <pause/>,
17,YIHUK64375A,NM,". <move/> 나만 좋다고 하구선 딴 여자를 만나! 순진한 얼굴로 뒤 에서 호박씨 까구, 니가 세상에서 제일 나쁜 놈이야, 알아! <move/> <move/> 고개들어!! 고개들어!! 너 그 기집애랑 뽀뽀했어, 안 했어?",
18,YIHUK64375A,MO,"<move/> 당연히 안 했지! 내가 너 말고 누구랑, 절대 안 했어, 하자고 했는데 안 했어, 내가. 진짜야..",
19,YIHUK64375A,NM,안는건?,
20,YIHUK64375A,MO,"<move/> 절대, 절대.",
21,YIHUK64375A,NM,<move/> 너 거짓말함 죽는다.,
22,YIHUK64375A,MO,응,
23,YIHUK64375A,NM,너 이제부터 죽어도 나 사랑할 자신 있으면 내 뒤 따라오고 아님 가,
24,YIHUK64375A,MO,은새야!,
25,YIHUK64375A,NM,<move/>,
26,YIHUK64375A,MO,나 지금 너 따라가는 중이다.,
27,YIHUK64375A,NM,<move/>,
28,YIHUK64375A,MO,아니 알고나 있으라고 말한거야,
29,YIHUK64375A,NM,<move/>,
30,YIHUK64375A,MO,나 계속 너 따라가면 안되?,
