No,serialID,speaker,dialogue
1,WKIMY22168G5,AB,"아, 며칠 내로 입금 시킨다니까요. 내가 언제 결재일 어긴 적 있습니까?아 그땐 여행 가느라 깜빡 했던 거구. VIP 고객을 이렇게 관리하면 곤란 하죠. 내가 일년 카드 사용 금액이 얼만지 모르는 것도 아니실테고.기다려보세요. 아, 기다리라니까."
2,WKIMY22168G5,KP,<move/>
3,WKIMY22168G5,AB,<move/>
4,WKIMY22168G5,KP,뭐 많이 쪼들리시는 일 있나봅니다.
5,WKIMY22168G5,AB,그건 형사님이 아실 거 없구요.
6,WKIMY22168G5,KP,물론 그거야 제가 알 거 없고.제가 알고 싶은 건 사건 당일의 백수찬씨 알리바이 뿐이죠.
7,WKIMY22168G5,AB,이거 합법적인 거 맞아요?이런 식으로 선량한 국민 괴롭히는 거?단지 알고 있었다는 것만 가지고 이러는 건.....고향이 같은 사람이 나 하나도 아니고.덕길 형도 같은 고향인데 그럼 덕길형도 용의잡니까?
8,WKIMY22168G5,KP,"양덕길씨는 연수연씨의 핸드폰 번호를 가지고 있던단명희씨 컴퓨터에 사진이 있진 않았죠. 아, 참, 오늘 백수찬씨 동네 아주머니 분께서 새로운 증언을하나 해주셨는데."
9,WKIMY22168G5,AB,<mute/>
10,WKIMY22168G5,KP,연수연씨와 연애질한다는 소문이 동네에 돈 적이 있었다는데?
11,WKIMY22168G5,AB,<mute/>
12,WKIMY22168G5,KP,"아, 죄송합니다. 표현이 거칠었네요.사귄다는 소문이 돈 적이 있었다구."
13,WKIMY22168G5,AB,<mute/>
14,ZIJEC40312Z,TQ,전 변희섭 부장과는 다릅니다.
15,ZIJEC40312Z,SE,원하는 게 뭔가?
16,ZIJEC40312Z,TQ,한 배를 탔다는 걸 인정해주십쇼.
17,ZIJEC40312Z,SE,인정해주면?
18,ZIJEC40312Z,TQ,미국 지사의 실권을 원합니다.
19,ZIJEC40312Z,SE,지사장 자리라.....생각은 해보지.
20,ZIJEC40312Z,TQ,아닙니다.
21,ZIJEC40312Z,SE,<move/>
22,ZIJEC40312Z,TQ,이름뿐인 사장 자리라면 그 배에 올라타지 않아도 언젠가는제 스스로 얻어낼 수 있다는 자신감은 있는 놈입니다.
23,ZIJEC40312Z,SE,<mute/>
24,ZIJEC40312Z,TQ,분리시켜 주십시오. 시간은 충분히 드리겠습니다.
25,ZIJEC40312Z,SE,<pause/>야심이 꽤 큰 친구로구만.
26,FWKOU74507N8,CI,꼭 가보고 싶었던 곳이 <pause/> 고작 선수촌 빙상장이에요? <move/>
27,FWKOU74507N8,OO,"처음이야. 사고 이후에, 아이스링크에 오는 건. <move/> 선수촌에 돌아와서 구석구석 다 가봤는데, 이상하게 여긴 와지지가 않았어."
28,FWKOU74507N8,CI,<mute/>
29,FWKOU74507N8,OO,들어오면 사고 기억이 제일 먼저 떠오를 줄 알았는데 <pause/> 그건 아니군. 다행이야.
30,FWKOU74507N8,CI,그럼 제일 먼저 뭐가 떠오르셨는데요?
31,FWKOU74507N8,OO,운동 할 때 <pause/> 나 참 멋있었다?
32,FWKOU74507N8,CI,<move/>
33,FWKOU74507N8,OO,스케이트 탈 줄 아나?
34,FWKOU74507N8,CI,<pause/> 그럼요!
35,FWKOU74507N8,OO,<move/> 탈 줄 아는 거 맞아?
36,FWKOU74507N8,CI,탈 줄은 알아요. 초등학교 때 <pause/> 두 번 타봤거든요.
37,FWKOU74507N8,OO,<move/>
38,FWKOU74507N8,CI,괜찮은데요? 느낌이? <move/>
39,FWKOU74507N8,OO,<move/>
40,FWKOU74507N8,CI,어 <pause/> 돼요. 돼는 거 같애요. <move/> 아!!!
41,FWKOU74507N8,OO,! 괜찮나?
42,FWKOU74507N8,CI,예. 뭐. 꼬리뼈 골절은 아닌 것 같네요. <move/> 아!! <move/> 이번엔 골절 인 것 같기도 하고 <pause/> <move/> !! <move/>
43,FWKOU74507N8,OO,<move/> 일어나.
44,FWKOU74507N8,CI,<move/> 들어오셨네요? 링크에?
45,FWKOU74507N8,OO,!
46,FWKOU74507N8,CI,<move/>
47,FWKOU74507N8,OO,잡아 줄 테니까 <pause/> 타 봐.
48,FWKOU74507N8,CI,<mute/>
49,FWKOU74507N8,CI,다른 운동은 다 안 되는데 이건 좀 되는데요? 그죠! 소질이 좀 있는 거 같죠.
50,FWKOU74507N8,OO,안 보이니까 그렇겠지. 지금 자네 폼이 얼마나 웃긴지.
51,FWKOU74507N8,CI,! <move/>
52,FWKOU74507N8,OO,보여줄까? 어떤 폼인지?
53,FWKOU74507N8,CI,됐어요. 하지 마세요.
54,FWKOU74507N8,OO,이런 포즈야. <move/>
55,FWKOU74507N8,CI,하지 마시라니까요!!
56,FWKOU74507N8,OO,<move/>
57,FWKOU74507N8,CI,<move/> <pause/> 실장님 이렇게 웃으시니까 <pause/> 보기 좋네요.
58,FWKOU74507N8,OO,<pause/> 내가 좀 살인미소지.
59,FWKOU74507N8,CI,<move/>
60,FWKOU74507N8,OO,<move/>
61,GHHWQ62519V,XP,200주울
62,GHHWQ62519V,LS,200주울
63,GHHWQ62519V,XP,슛
64,GHHWQ62519V,XP,300
65,GHHWQ62519V,LS,300주울
66,GHHWQ62519V,XP,슛
67,WHLBW7791O2,TM,꼭 그래야겠냐? 선배가 와서 대화 좀 나누겠다는데. 학교 후배라는 놈이 꼭 그렇게 끼어들어서 스타일 구기게 만들어야겠어?
68,WHLBW7791O2,PZ,"끼어든 거, 선배 아닙니까?"
69,WHLBW7791O2,TM,뭐?
70,WHLBW7791O2,PZ,페어플레이 하시죠.
71,WHLBW7791O2,TM,"페, 페어? 야 너 그거 무슨 뜻이야. 너 아직도 옛날 그 얘기 하는 거냐? <move/> 그래 연극동아리 공금 내가 좀 썼어! 근데 그 일로 제일 덕 본 거 너 아니냐? 결국 너 나 밀어내고 동아리회장 해 먹었잖아! 그 회장 끗발이 얼마나 쎈데 <pause/> 나중에 업계에서도 먹어주는 인맥인데 <pause/> <move/>"
72,WHLBW7791O2,PZ,그래서 늘 감사하게 생각하고 있습니다. 먼저 가보겠습니다. <move/>
73,WHLBW7791O2,TM,"저저, 아우 열받아!! 내가 어떻게든 넌 밟고 만다 유시준!"
74,JHMOG78723S,CJ,일단 인터넷으로 온라인 샵부터 시작하는 거야. 봐서 반응이 좋으면 진짜 샵도 내고.
75,JHMOG78723S,SX,정말? 정말이지?
76,JHMOG78723S,CJ,"아파트, 시세보다 싸게 내놨으니까 금방 나갈 거야. 나가면 오천만 원 바로 갚아버리고 남은 걸로 사고 한 번 치는 거야."
77,JHMOG78723S,SX,<move/> 언니 <pause/>
78,JHMOG78723S,CJ,감동할 거 없어. 니가 케이크 하나는 기가 막히게 굽잖아. 넌 케이크 굽고 난 운영하고. 필이 오지 않냐?
79,JHMOG78723S,SX,필 온다! 팍팍 온다! 드디어 이 방앗간 집 딸들이 날개를 펴는구만?
80,UKNIZ55470Z,OT,<move/>
81,UKNIZ55470Z,JZ,몇 층 가십니까?
82,UKNIZ55470Z,OT,15층.
83,UKNIZ55470Z,JZ,<move/>
84,UKNIZ55470Z,OT,"아니, 내가 누를게. <move/>"
85,UKNIZ55470Z,JZ,<move/>
86,UKNIZ55470Z,OT,<move/> 방구 꼈어?
87,UKNIZ55470Z,JZ,예?
88,UKNIZ55470Z,OT,방구 꼈지?
89,UKNIZ55470Z,JZ,안 꼈는데요.
90,UKNIZ55470Z,OT,<move/> 엘리베이터 안에서는 삐삐도 안 되고 사탕 껌도 안 되고 몰래 음식 먹는 것도 금지. 더더구나 방구는 음식 먹는 것보다 더 고과에서 마이너스다.
91,UKNIZ55470Z,JZ,정말 안 꼈습니다.
92,UKNIZ55470Z,OT,"<move/> 손님들이 니 방구 냄새 맡으러 백화점에 오는 줄 알아?!! 어디 감히 신성한 손님들 공간에 니 까짓거 방구를!! 너 방구 조절도 못하냐? 참았다 밖에다 뀌든가 했어야지?!! 니 방구는 니 방에서나 뿡 뿡 껴대라고?!! 이 공간에 있는 한 너 뿐만 아니라, 니 방구도 내 명령에 따라야하는 거 몰라?!!"
93,UKNIZ55470Z,JZ,진짜 안 꼈다니까요?!? 내 방구는 내가 알아서 하겠다구요?!!
94,UKNIZ55470Z,OT,무식하게!
95,UKNIZ55470Z,JZ,"<move/> 내 방구 내가 알아서 끼겠다는게 왜, 무식한 거예요?"
96,KJDXA29982K,SJ,<move/>
97,KJDXA29982K,MP,<move/> 키 줘.
98,KJDXA29982K,SJ,<move/>
99,OXPTX47655I9,XI,"<move/> 미안, 5분만 기다려."
100,OXPTX47655I9,MD,<move/> 공사구분도 못하고..기다려? <move/> 마주한테 반말이나 찍찍 갈기고..내가 저걸 확 짤라버리던가 해야지.
101,OXPTX47655I9,MD,<move/> 마누라가 차려주는 밥을 먹어그런가..살이 부쩍 찌네. <move/> <pause/> 바쁘다는데 왜 꼭 오늘 보재는 건데!
102,OXPTX47655I9,XI,<move/> ..부탁이 있어서.
103,OXPTX47655I9,MD,! <move/> <move/> 절대 안 돼!
104,IJHVR44119D,WR,<move/> 나 참! 왜 안와? 후우 <pause/> 책이라도 갖구 오는 건데!읽을 것도 없고 참! <move/> 별걸 다한다! 음? 또 삐진거 같으니까 점수 좀 따봐. 나대신 니가. 부탁하마.허! 뭐하는 거야! 나 참! 이거야 참! <move/>
105,IJHVR44119D,JX,"<move/> 어엉, 우리승원이 깼어? 울지마! 울지마!좀만 참아! 아빠 다 돼가! 다 풀었어 다 풀었어! 울지마아 임마아?"
106,IJHVR44119D,JX,<move/> 네. 들어와요.
107,ZRWMC94023F,GP,<move/> 민우씨 머리가 좋은가 부다? 게임도 잘하네. <move/> 민우씨가 그 좋은 머리로 다른데 안 간 거 정말 다행이지 뭐에요. 이렇게 잘 생긴 사람이 로펌 사무실이나 외과수술방 같은데 처박혔으면 우리 다 어쩔뻔 했냐구요.
108,ZRWMC94023F,YQ,속 너무 보이거든요?
109,UXCLY84666X,GD,<move/> 여보세요? 전활 받은 거야 뭐야.
110,UXCLY84666X,JP,<pause/> <move/> 말씀하세요
111,UXCLY84666X,GD,<move/> 당장 집으로 와. 30분내로 와 <move/>
112,UXCLY84666X,JP,<move/> <pause/>
113,LGSKX64026W,MI,장채리씨 약혼식에 올 하객수하고 좌석 배치도예요. 좌석배치 틀리지 않게 신경 좀 써주세요. 서로 껄끄러운 사람들이 꽤 있나 봐요.
114,LGSKX64026W,RJ,"알았어. <move/> 근데 <pause/> 며칠 전 그 아가씨 말야, 옛날 그 아가씨 맞지?"
115,LGSKX64026W,MI,? 오지배인님이 어떻게 아세요?
116,LGSKX64026W,RJ,모르나? 나한테 몇 번 찾아왔었는데.
117,LGSKX64026W,MI,네? <pause/>
118,LGSKX64026W,RJ,"처음 며칠은 무릎 꿇고 빌더라구, 용서해달라구."
119,LGSKX64026W,MI,아! <pause/>
120,LGSKX64026W,RJ,그 다음 며칠은 내가 아무것도 못 먹고 누워있으니까 죽도 쑤고 청소도 하고 암말도 없이 옆에 앉아 울다 가고 <pause/>
121,LGSKX64026W,MI,아..! <pause/>
122,LGSKX64026W,RJ,아유 주책이야. 신경 쓰지마. 일 봐. <move/>
123,LGSKX64026W,MI,<mute/>
124,YWPPG69771N,SC,저기. 얘기 좀 해.
125,YWPPG69771N,GQ,<move/> 니들 먼저 가있어. <move/> 무슨 얘기?
126,YWPPG69771N,SC,난 정교빈이라고 해. 너 맘에 든다. 내 여자친구 안 할래?
127,YWPPG69771N,GQ,뭐? 웃겨. 니가 날 잘 모르나 본데 내 남자친군 내가 골라.
128,YWPPG69771N,SC,그래? 미안해. <move/>
129,YWPPG69771N,GQ,"야, 정교빈. 너 오늘부터 내 남자친구야. 내가 너 찍었거든."
130,YWPPG69771N,SC,<move/> 하..
131,CBNSU46131N1,TR,<move/>
132,CBNSU46131N1,JS,차연수가 부탁하더군요. 제발 경찰은 부르지 말아달라구.
133,CBNSU46131N1,TR,<move/>
134,CIEIM11644D8,FE,속은 좀 괜찮으서요?
135,CIEIM11644D8,YP,네.
136,CIEIM11644D8,FE,지가 어제밤에 술이 과했나봐요.맥주 마실 때까진 생각이 나는디 그 뒤론 통 <pause/>
137,CIEIM11644D8,YP,그러게요. 저도 통. 출근 하죠. <move/>
138,CIEIM11644D8,FE,<move/> 그래서 옛말에 낮술에 취하믄 지 에비도 못 알아본다는말이 있는가 봐요.
139,TZING77019B,AG,"<move/> 아니, 강유정씨 그것이 지금 말이 된다고 생각하십니까?"
140,TZING77019B,HS,정말입니다. 전 몰랐어요.
141,TZING77019B,AG,몰랐다는 사람이 다음날 예? 차를 싹다 갖다 고쳤을까요? 그것도 카센터도 아니면서 몰래? 뭔가 좀 이상하지 않아요?
142,TZING77019B,HS,그건 제가 아시는 분한테 싸게 할려고 한 거예요.
143,TZING77019B,AG,싸게? 당신이 그 싸게 맡겼다는 그 차에서 혈흔이 발견됐습니다.
144,TZING77019B,HS,"아니에요. 뭔가 잘못됐어요. 믿어주세요. 사람은 없었어요. 아무도 보지 못했어요. 그 빗길에 그 트럭이 갑자기 튀어 나와서 제 차가 미끄러졌고, 우리는, 아니, 저는 그 공사 현장에 있는 드럼통을 쳤을 뿐이라고요. 내려서 직접 확인까지 했구요."
145,TZING77019B,AG,"아니, 당신이 쳤다는 그 우리는 드럼통은 현장에 없었다니까, 그래요!"
146,TZING77019B,HS,도로 한복판에 있어서 위험할 까봐 제가 길가로 치웠다고요. 한번만 다시 찾아봐 주세요.
147,TZING77019B,AG,"찾기는 뭘 찾아요. 찾기는 <move/> 아이 여기 증거 있잖아요. 증거. 아니, 비 내리는 밤이라고 우긴다고 될겁니까? 이게? 암튼, 오늘 중으로 혈흔 감식 결과 나올겁니다."
148,TZING77019B,HS,"그럴리 없다니까요. 아니 전 몰랐어요.아니, 전 사람을 치지 않았습니다."
